dataset,model,sigma,seed,window,stride,latent,n_params,epochs,elapsed_sec,test_r2,test_rmse,test_mae,delta_test_pct,mse_test_noisy,mse_test_recovered
finance,LSTM-AE,0.1,2025,6,2,4,2597,300,81.62,0.8018109241359611,0.055753894416763775,0.04502879491989472,76.38860128759258,0.013165237606199818,0.0031084967426356427
finance,LSTM-AE,0.1,2026,6,2,4,2597,300,81.53,0.7583945565674951,0.061558596472686626,0.05081889885420443,71.21616097606532,0.013165237606199818,0.0037894607996870663
finance,LSTM-AE,0.1,2027,6,2,4,2597,300,83.45,0.7307109823446835,0.06498972107219246,0.053984827391674275,67.91805836415475,0.013165237606199818,0.004223663845041376
finance,LSTM-AE,0.2,2023,6,2,4,2597,300,84.06,0.4509138572333964,0.09280162773970468,0.07305275054702437,83.64605643903634,0.05266095042479927,0.008612142111138725
finance,LSTM-AE,0.2,2024,6,2,4,2597,300,85.11,0.5077431546638528,0.0878680996911448,0.06892366947067481,85.33865628885981,0.05266095042479927,0.007720802943332961
finance,LSTM-AE,0.2,2025,6,2,4,2597,300,84.1,0.3073916667366996,0.10422675299538492,0.08350185328684413,79.3714014799755,0.05266095042479927,0.01086321603996098
finance,LSTM-AE,0.2,2026,6,2,4,2597,300,83.06,0.4436813607830288,0.09341081419388875,0.07518459208029547,83.43064426680738,0.05266095042479927,0.008725580208365207
finance,LSTM-AE,0.2,2027,6,2,4,2597,300,85.23,0.16103831235973376,0.11471135672315419,0.09288183182537181,75.01242333243192,0.05266095042479927,0.013158695361266733
finance,LSTM-AE,0.3,2023,6,2,4,2597,300,99.68,-0.20478235181492654,0.1374642131789474,0.1090378344213059,84.05193158415551,0.11848713845579832,0.018896409904907093
finance,LSTM-AE,0.3,2024,6,2,4,2597,300,102.42,-0.004078623505461065,0.1254929165079798,0.09971561915323551,86.70870754503555,0.11848713845579832,0.015748472093678793
finance,LSTM-AE,0.3,2025,6,2,4,2597,300,93.42,-0.12635620375129886,0.1329147655961738,0.10837919126875042,85.09008222856504,0.11848713845579832,0.017666334913485824
finance,LSTM-AE,0.3,2026,6,2,4,2597,300,100.61,-0.05942706847137269,0.12890533282080566,0.10244591095847252,85.97604343711829,0.11848713845579832,0.016616584829642674
finance,LSTM-AE,0.3,2027,6,2,4,2597,300,92.61,-0.34212622396781023,0.14508818006296895,0.11689702245984722,82.23386920443063,0.11848713845579832,0.0210505799939845
finance,MLP-AE,0.1,2023,6,2,4,19238,300,22.56,0.789234922501282,0.057495608978765635,0.04464613716936318,74.89035024873107,0.013165237606199818,0.0033057450518391156
finance,MLP-AE,0.1,2024,6,2,4,19238,300,22.73,0.6709548420935687,0.0718394674378865,0.06188164640502858,60.79896743125425,0.013165237606199818,0.005160909081759154
